rid,cls,偏差値
202408070108,1勝クラス,45.83957484826592
202408070109,1勝クラス,60.08501222785657
202408070110,3勝クラス,64.80601193619702
202408070111,重賞,72.68102633176193
202408070112,2勝クラス,56.35706307345386
202408070201,未勝利,42.09327447006264
202408070202,未勝利,50.34131322190088
202408070203,未勝利,47.506785452450444
202408070207,1勝クラス,46.265894623715006
202408070208,2勝クラス,56.386993660263514
202408070209,2勝クラス,57.03315981789158
202408070210,3勝クラス,66.63501388088245
202408070211,OP,72.2523998947355
202408070212,2勝クラス,51.818627642938935
202408070301,未勝利,44.65458919118793
202408070302,未勝利,49.12766690539935
202408070303,未勝利,44.47550141279205
202408070307,未勝利,45.35761005939956
202408070308,1勝クラス,47.89566686191828
202408070309,1勝クラス,58.6730194564802
202408070310,2勝クラス,57.7644619443176
202408070311,OP,65.5101358523292
202408070312,2勝クラス,53.404691301317584
202408070401,未勝利,45.27166180000931
202408070402,未勝利,48.701443444339645
202408070403,未勝利,44.62413237480788
202408070406,1勝クラス,54.56251897362825
202408070407,1勝クラス,47.32458966247313
202408070408,2勝クラス,58.53072161759308
202408070409,3勝クラス,63.46878446648437
202408070410,3勝クラス,68.39131332745185
202408070411,重賞,71.15296984004507
202408070412,2勝クラス,54.01746317569501
202408070501,未勝利,47.96397056351468
202408070502,未勝利,44.470015848972054
202408070503,未勝利,42.45453496907208
202408070507,未勝利,49.946336694695724
202408070508,1勝クラス,46.874944327247675
202408070509,2勝クラス,55.752845532182604
202408070510,2勝クラス,58.40292949754141
202408070511,OP,68.99515437282119
202408070512,2勝クラス,53.2921711059072
202408070601,未勝利,46.28379391004711
202408070602,未勝利,47.81164409612813
202408070603,未勝利,48.13666798379451
202408070604,未勝利,47.38132836885568
202408070607,1勝クラス,41.18387472569066
202408070608,1勝クラス,49.57236130025375
202408070609,2勝クラス,59.20973730401797
202408070610,3勝クラス,66.74842906114316
202408070611,重賞,65.93591595962079
202408070612,3勝クラス,60.74266210235706
202408070701,未勝利,47.205080423058014
202408070702,未勝利,43.24920362621686
202408070703,未勝利,49.64949346394653
202408070704,未勝利,50.394323044091706
202408070707,1勝クラス,46.458610204684305
202408070708,1勝クラス,44.677504236386355
202408070709,1勝クラス,56.87368568285086
202408070710,3勝クラス,70.33649036517403
202408070711,重賞,78.21804556850228
202408070712,2勝クラス,53.841837402150006
202408070801,未勝利,48.32713453546674
202408070802,未勝利,48.969074336079856
202408070803,未勝利,45.841947172319585
202408070807,1勝クラス,46.6200674140734
202408070808,2勝クラス,56.08186694293961
202408070809,2勝クラス,60.56596372276535
202408070810,3勝クラス,63.16847590848513
202408070811,OP,72.75518437879062
202408070812,2勝クラス,51.17983582616525
202408070901,未勝利,49.311168238805244
202408070902,未勝利,49.4716818351088
202408070903,未勝利,48.930430708091265
202408070906,1勝クラス,60.25133622889425
202408070907,1勝クラス,47.32748318591674
202408070908,1勝クラス,47.69971389167804
202408070909,2勝クラス,55.7078540579937
202408070910,2勝クラス,52.30457798550429
202408070911,OP,82.42880740178039
202408070912,3勝クラス,59.274287013997295
202501010101,未勝利,43.869520972935554
202501010102,未勝利,37.07394369748827
202501010103,未勝利,42.0399011384166
202501010104,未勝利,40.04615708209362
202501010106,未勝利,41.13203048372803
202501010107,1勝クラス,39.25706457911563
202501010108,1勝クラス,56.3330105045223
202501010109,1勝クラス,49.76110556853711
202501010110,2勝クラス,54.85963386023434
202501010111,3勝クラス,60.659325985663884
202501010112,2勝クラス,60.64347358178247
202501010201,未勝利,43.67518801513731
202501010202,未勝利,37.60071277808767
202501010203,未勝利,39.08358386954522
202501010204,未勝利,39.05587276335447
202501010206,1勝クラス,43.96826355577268
202501010207,1勝クラス,47.697307461272615
202501010208,1勝クラス,48.96161447120669
202501010209,1勝クラス,47.40774235848039
202501010210,3勝クラス,75.2638961723532
202501010211,OP,70.55908186671131
202501010212,2勝クラス,50.64436359120336
202501010301,未勝利,38.129339055238916
202501010302,未勝利,34.558774182388504
202501010303,未勝利,40.22676432784455
202501010304,未勝利,42.56791297305766
202501010306,1勝クラス,43.96186481026896
202501010307,1勝クラス,51.19786813836905
202501010308,1勝クラス,50.413504091491795
202501010309,1勝クラス,44.75615854025726
202501010310,2勝クラス,59.29059385936451
202501010311,3勝クラス,65.51617694584891
202501010312,2勝クラス,60.855695054724976
202501010401,未勝利,45.45670778134754
202501010402,未勝利,38.859575138871534
202501010403,未勝利,39.9126217872776
202501010404,未勝利,41.08187245247796
202501010406,未勝利,41.281162516283224
202501010407,1勝クラス,51.52812820155489
202501010408,1勝クラス,50.09703672925795
202501010409,2勝クラス,52.77727451401307
202501010410,2勝クラス,52.485797247037
202501010411,重賞,74.68828541489464
